date,Critical,Major,Minor,Trivial,NEW FEATURE,closed
2018-02-10,2,13,30,15,3,0
2018-02-12,2,12,30,15,3,1
2018-02-13,0,6,29,15,3,8
2018-02-14,0,5,26,14,3,8
2018-02-15,1,5,26,13,6,6
2018-02-16,1,4,26,13,12,1
2018-02-17,1,2,21,13,12,0
2018-02-18,1,2,22,13,12,0
2018-02-19,1,2,19,13,12,4
2018-02-20,1,2,18,13,12,2
2018-02-21,1,3,16,13,11,2
2018-02-22,1,4,16,14,9,2
2018-02-23,1,5,17,14,12,1
2018-02-24,1,4,18,14,12,0
2018-02-25,1,4,18,14,12,0
2018-02-26,1,6,18,10,17,0
2018-02-27,1,4,17,9,17,0
2018-02-28,1,2,18,8,17,3
2018-03-14,1,2,10,9,14,2
2018-03-15,1,3,12,11,14,0
2018-03-16,2,5,11,12,13,1
2018-03-17,2,5,11,12,13,0
2018-03-19,2,5,11,12,13,0
2018-03-20,2,4,8,7,14,8
2018-03-23,2,3,7,7,14,0
2018-03-24,2,3,7,7,14,0
2018-03-25,2,3,7,7,14,0
2018-03-26,2,3,7,7,14,0
2018-03-27,0,3,6,7,16,1
2018-03-29,0,3,6,7,16,1
2018-03-30,0,3,6,7,16,1
2018-03-31,0,1,6,8,16,0
2018-04-01,0,1,6,8,16,1
2018-04-02,0,1,6,9,15,1
2018-04-06,0,5,7,12,16,0
2018-04-07,0,5,7,11,16,0
2018-04-08,0,5,7,11,16,0
2018-04-09,0,5,7,11,16,0
2018-04-11,0,3,10,11,16,0
2018-04-18,0,5,10,11,18,1
2018-04-23,0,8,10,9,17,0
2018-04-25,0,4,10,10,17,0
2018-04-27,0,4,12,10,20,1
2018-04-28,0,4,12,10,20,0
2018-04-29,0,4,12,10,20,0
2018-04-30,0,4,12,10,20,0
2018-05-01,0,4,12,10,20,0
